"time","name","ref","table","plant","type","species","category","comment","deleted"
"2023-03-23 10:17:36","Katja","r0","Tisch 1","C7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:17:51","Katja","r0","Tisch 1","D7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:19:11","Katja","r0","Tisch 1","H6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:19:23","Katja","r0","Tisch 1","G5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:19:29","Katja","r0","Tisch 1","F2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:20:13","Katja","r0","Tisch 1","E1","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:21:15","Katja","r1","Tisch 2","H8","Schädling","Blattläuse","1 - 2","",0
"2023-03-23 10:21:35","Katja","r0","Tisch 2","F6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:21:49","Katja","r0","Tisch 2","G3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:22:20","Katja","r0","Tisch 2","E2","Schädling","Trauermücke","0","",0
"2023-03-23 10:23:11","Katja","r0","Tisch 3","F8","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:23:30","Katja","r0","Tisch 3","G6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:23:33","Katja","r0","Tisch 3","E5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:23:52","Katja","r0","Tisch 3","H1","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:16","Katja","r0","Tisch 4","F9","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:19","Katja","r0","Tisch 4","E7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:23","Katja","r0","Tisch 4","H5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:38","Katja","r0","Tisch 4","G2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:28:07","Katja","r0","Tisch 8","C2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:34:23","Katja","r0","Tisch 8","B3","Schädling","Weisse Fliege","1 - 2","weisser lausartiger Schädling",0
"2023-03-23 10:34:51","Katja","r0","Tisch 8","B3","Schädling","Blattläuse","1 - 2","Blattlaus",0
"2023-03-23 10:35:06","Katja","r0","Tisch 8","A5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:35:12","Katja","r0","Tisch 7","D1","Schädling","Weisse Fliege","0","",0
